Ind_ID,GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Birthday_count,Employed_days,Mobile_phone,Work_Phone,Phone,EMAIL_ID,Type_Occupation,Family_Members
5008827,1,1,1,0,180000,0,4,2,3,-18772,365243,1,0,0,0,,2
5009744,0,1,0,0,315000,1,4,2,3,-13557,-586,1,1,1,0,,2
5009746,0,1,0,0,315000,1,4,2,3,,-586,1,1,1,0,,2
5009749,0,1,0,0,,1,4,2,3,-13557,-586,1,1,1,0,,2
5009752,0,1,0,0,315000,1,4,2,3,-13557,-586,1,1,1,0,,2
5009753,1,1,0,0,315000,0,4,2,3,-13557,-586,1,1,1,0,,2
5009754,0,1,0,0,315000,1,4,2,3,-13557,-586,1,1,1,0,,2
5009894,0,0,0,0,180000,0,2,2,3,-22134,365243,1,0,0,0,,2
5010864,1,1,1,1,450000,1,2,2,3,-18173,-678,1,0,1,1,1,3
5010868,1,1,1,1,450000,0,2,2,3,-18173,-678,1,0,1,1,1,3
5010869,1,1,1,1,450000,1,2,0,3,-18173,-678,1,0,1,1,1,1
5018498,0,1,1,0,90000,2,2,2,3,-18950,-1002,1,1,1,0,2,2
5018501,0,1,1,0,,2,2,2,3,-18950,-1002,1,1,1,0,2,2
5018503,0,1,1,0,90000,2,2,2,3,-18950,-1002,1,1,1,0,2,2
5021303,1,0,0,1,472500,0,4,2,-1,-8907,-913,1,0,0,1,,3
5021310,1,0,1,0,270000,2,2,2,3,-16896,-248,1,0,0,0,3,2
5021314,1,0,1,0,270000,2,2,0,3,-16896,-248,1,0,0,0,3,2
5021430,0,0,1,0,126000,1,4,0,3,-18907,-2470,1,0,0,0,4,1
5021431,0,0,1,0,126000,1,4,0,3,-18907,-2470,1,0,0,0,4,1
5021998,1,0,1,0,90000,0,2,2,3,-18863,-1644,1,0,0,1,,2
5022053,1,0,0,0,202500,2,4,0,3,-12811,-4327,1,0,0,0,,1
5022617,1,1,1,0,202500,1,2,2,3,-12022,-1674,1,0,0,1,3,2
5023781,1,0,1,0,157500,1,4,2,3,-17800,-1086,1,0,0,0,5,2
5023831,0,0,1,2,112500,1,2,2,3,-12135,-925,1,0,0,0,4,4
5024071,0,0,1,0,180000,2,4,2,3,-15976,-854,1,0,0,0,3,2
5024213,0,1,1,0,540000,1,4,2,3,-15702,-185,1,0,1,0,,2
5024916,0,0,1,0,112500,0,2,2,3,-21832,365243,1,0,1,0,,2
5024917,0,0,1,0,,0,2,2,3,-21832,365243,1,0,1,0,,2
5025127,,0,1,0,292500,2,2,2,3,-11111,-3350,1,0,0,0,6,2
5028580,1,0,0,0,540000,1,4,2,3,-19996,-691,1,0,0,0,7,2
5029028,0,0,1,0,90000,2,1,0,2,-12026,-4770,1,0,0,0,8,2
5029311,0,0,1,0,112500,0,2,2,3,-21876,365243,1,0,1,1,,2
5033453,0,0,0,0,135000,2,4,0,3,-10749,-2394,1,0,0,0,3,1
5033514,0,1,0,1,135000,2,2,2,3,-15952,-384,1,1,0,0,4,3
5033916,1,0,1,0,180000,2,2,2,3,-13015,-3647,1,0,0,0,,2
5036469,1,1,0,0,112500,3,2,0,3,-20333,-1546,1,0,0,0,9,2
5036590,1,1,1,0,292500,2,4,2,3,-21055,-808,1,0,0,0,9,2
5036660,0,1,1,0,76500,0,2,2,3,-23835,365243,1,0,0,0,,2
5036795,1,1,1,0,215100,1,2,2,3,-19175,-1285,1,0,1,0,3,2
5041522,1,1,1,0,450000,1,4,1,3,-16169,-855,1,1,1,0,,1
5042064,0,1,0,2,270000,3,4,2,3,-16053,-7369,1,1,1,0,,4
5045888,0,0,1,0,225000,0,2,0,3,-23286,365243,1,0,0,0,,1
5045894,0,0,1,0,225000,0,2,0,3,-23286,365243,1,0,0,0,,1
5045895,0,0,1,0,225000,0,2,0,3,-23286,365243,1,0,0,0,,1
5046324,0,0,1,1,157500,1,2,0,3,-15466,-2269,1,0,1,0,10,3
5046328,0,0,1,1,157500,0,2,0,3,-15466,-2269,1,0,1,0,10,3
5047662,0,0,1,1,67500,1,2,2,3,-18880,-4114,1,0,0,0,5,3
5048300,1,1,0,1,180000,1,2,2,3,-11091,-1161,1,0,0,0,3,3
5048301,1,1,0,1,180000,1,2,2,3,-11091,-1161,1,0,0,0,3,3
5050603,1,0,0,0,157500,2,2,2,3,-18327,-7288,1,1,0,0,3,2
5050606,1,0,0,0,157500,2,2,2,3,-18327,-7288,1,1,0,0,3,2
5050671,1,0,0,0,171000,1,3,0,3,-11610,-166,1,1,1,0,6,1
5051160,1,1,0,1,135000,2,2,2,3,-9594,-866,1,0,0,0,3,3
5051161,1,1,0,1,135000,2,2,2,3,-9594,-866,1,0,0,0,3,3
5052659,0,0,1,0,103500,2,2,2,3,-10396,-564,1,0,0,1,11,2
5052661,0,0,1,0,103500,2,2,2,3,-10396,-564,1,0,0,1,11,2
